year,Riyadh_Avg_Temp,10_Year_RiyadhMA,Global_Avg_Temp,10_Year_GlobalMA
1962,26.1,25.34,8.75,8.67
1963,25.54,25.32,8.86,8.69
1964,25.14,25.29,8.41,8.65
1965,25.59,25.27,8.53,8.64
1966,26.16,25.35,8.6,8.64
1967,24.87,25.33,8.7,8.68
1968,25.21,25.38,8.52,8.66
1969,26.05,25.42,8.6,8.64
1970,25.84,25.57,8.7,8.64
1971,24.93,25.50,8.6,8.64
1972,24.74,25.47,8.5,8.62
1973,25.6,25.42,8.95,8.63
1974,25.4,25.41,8.47,8.60
1975,25.04,25.40,8.74,8.63
1976,24.97,25.35,8.35,8.61
1977,25.99,25.33,8.85,8.63
1978,25.95,25.43,8.69,8.63
1979,26.2,25.52,8.73,8.65
1980,25.83,25.50,8.98,8.69
1981,25.95,25.51,9.17,8.73
1982,24.62,25.48,8.64,8.73
1983,24.85,25.49,9.03,8.78
1984,25.05,25.44,8.69,8.76
1985,25.3,25.43,8.66,8.78
1986,25.36,25.46,8.83,8.78
1987,26.37,25.59,8.99,8.84
1988,25.99,25.59,9.2,8.87
1989,25.05,25.51,8.92,8.89
1990,25.7,25.46,9.23,8.94
1991,25.43,25.42,9.18,8.96
1992,24.37,25.28,8.84,8.93
1993,25.42,25.35,8.87,8.95
1994,26.08,25.47,9.04,8.95
1995,25.64,25.52,9.35,9.01
1996,26.28,25.61,9.04,9.04
1997,25.49,25.62,9.2,9.08
1998,26.73,25.65,9.52,9.13
1999,26.92,25.74,9.29,9.13
2000,26.55,25.87,9.2,9.16
2001,26.67,25.96,9.41,9.18
2002,26.44,26.05,9.57,9.21
2003,26.62,26.26,9.53,9.27
2004,26.2,26.33,9.32,9.32
2005,26.27,26.35,9.7,9.38
2006,26.24,26.40,9.53,9.39
2007,26.49,26.42,9.73,9.45
2008,26.21,26.49,9.43,9.48
2009,26.71,26.48,9.51,9.47
2010,27.37,26.52,9.7,9.51
2011,26.4,26.51,9.52,9.54
2012,26.83,26.53,9.51,9.55
2013,27.78,26.65,9.61,9.55
